Category,N,Bias,MAE,RMSE,R²
Sandy (>50%),22337,-0.285,1.578,2.168,0.280
Non-Sandy (≤50%),20184,-0.252,1.546,2.120,0.552
High Density (>0.057),21260,-0.325,1.476,2.017,0.472
Low Density (≤0.057),21261,-0.214,1.649,2.266,0.524
Near Coast (<5km),9362,-0.428,1.643,2.214,0.493
Inland (≥5km),33159,-0.225,1.540,2.125,0.471
