txn_type,txn_date,txn_time,start_location,end_location,line_name,start_zone,end_zone
Check out,31/10/2025,5:54:57,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,5:54:59,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,5:55:00,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,5:55:01,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,5:55:05,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,5:55:10,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,5:55:12,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,5:55:17,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,5:55:20,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,5:55:21,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,5:55:22,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,5:55:23,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,5:55:24,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,5:55:27,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,5:55:31,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,5:55:34,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,5:55:35,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,5:55:36,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,5:55:43,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,5:56:20,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,5:59:29,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:03:14,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:03:19,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:03:20,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:03:31,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:04:41,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:04:46,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:04:50,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:05:04,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:05:24,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:05:30,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:05:31,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:07:10,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:07:29,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:11:26,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:12:18,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:12:22,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:12:25,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:12:36,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:12:51,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:13:03,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:13:04,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:15:04,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:15:05,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:15:09,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:15:21,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:15:59,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:16:06,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:16:11,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:16:14,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:16:31,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:16:32,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:16:35,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:17:26,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:19:18,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:19:29,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:19:45,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:20:09,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:20:12,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:20:23,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:20:39,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:20:41,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:20:42,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:20:43,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:20:51,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:23:06,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:23:09,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:23:11,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:23:13,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:23:16,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:23:17,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:23:27,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:23:34,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:24:01,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:24:10,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:24:11,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:24:14,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:24:15,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:24:20,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:24:21,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:24:38,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
